OLDNAME   RENAMED   IFGLYCAM  G_TYPE    G_CHARGE  
C1        C1        NO        NONE      NONE      
C2        C2        NO        NONE      NONE      
O2        O3        NO        NONE      NONE      
C3        C4        NO        NONE      NONE      
C4        C5        NO        NONE      NONE      
C5        C6        NO        NONE      NONE      
C6        C7        NO        NONE      NONE      
C7        C8        NO        NONE      NONE      
C8        C9        NO        NONE      NONE      
C9        C10       NO        NONE      NONE      
C10       C11       NO        NONE      NONE      
N5        N12       NO        NONE      NONE      
O1A       O13       NO        NONE      NONE      
O1B       O14       NO        NONE      NONE      
O4        O15       NO        NONE      NONE      
O6        O16       NO        NONE      NONE      
O7        O17       NO        NONE      NONE      
O8        O18       NO        NONE      NONE      
N9        N19       NO        NONE      NONE      
O10       O20       NO        NONE      NONE      
H2        H21       NO        NONE      NONE      
H31       H22       NO        NONE      NONE      
H32       H23       NO        NONE      NONE      
H4        H24       NO        NONE      NONE      
H5        H25       NO        NONE      NONE      
H6        H26       NO        NONE      NONE      
H7        H27       NO        NONE      NONE      
H8        H28       NO        NONE      NONE      
H91       H29       NO        NONE      NONE      
H92       H30       NO        NONE      NONE      
H5        H31       NO        NONE      NONE      
H4        H32       NO        NONE      NONE      
H7        H33       NO        NONE      NONE      
H8        H34       NO        NONE      NONE      
H92       H35       NO        NONE      NONE      
C11       C36       NO        NONE      NONE      
1H11      H37       NO        NONE      NONE      
2H11      H38       NO        NONE      NONE      
3H11      H39       NO        NONE      NONE      
O1        O40       NO        NONE      NONE      
C2        C41       NO        NONE      NONE      
C3        C42       NO        NONE      NONE      
C4        C43       NO        NONE      NONE      
C5        C44       NO        NONE      NONE      
C6        C45       NO        NONE      NONE      
C7        C46       NO        NONE      NONE      
C8        C47       NO        NONE      NONE      
C9        C48       NO        NONE      NONE      
C10       C49       NO        NONE      NONE      
N11       N50       NO        NONE      NONE      
O12       O51       NO        NONE      NONE      
O13       O52       NO        NONE      NONE      
N14       N53       NO        NONE      NONE      
H17       H54       NO        NONE      NONE      
H18       H55       NO        NONE      NONE      
H19       H56       NO        NONE      NONE      
H20       H57       NO        NONE      NONE      
H21       H58       NO        NONE      NONE      
